uf;ibge;municipio;2021;2020;nome_teste;2019;teste
GO;5201306;Anicuns;22113;21981;Anicuns;21850;certo
PI;2200707;Anísio de Abreu;9994;9938;Anísio de Abreu;9880;certo
SC;4201000;Anita Garibaldi;6783;6957;Anita Garibaldi;7133;certo
SC;4201109;Anitápolis;3223;3228;Anitápolis;3232;certo
AM;1300102;Anori;21937;21477;Anori;21010;certo
RS;4300703;Anta Gorda;5941;5961;Anta Gorda;5981;certo
BA;2901601;Antas;19659;19479;Antas;19291;certo
PR;4101200;Antonina;18919;18949;Antonina;18980;certo
CE;2300804;Antonina do Norte;7402;7378;Antonina do Norte;7353;certo
PI;2200806;Antônio Almeida;3175;3170;Antônio Almeida;3164;certo
BA;2901700;Antônio Cardoso;11670;11677;Antônio Cardoso;11683;certo
MG;3102902;Antônio Carlos;11471;11459;Antônio Carlos;11445;certo
SC;4201208;Antônio Carlos;8712;8613;Antônio Carlos;8513;certo
MG;3103009;Antônio Dias;9233;9275;Antônio Dias;9318;certo
BA;2901809;Antônio Gonçalves;11955;11878;Antônio Gonçalves;11798;certo
MS;5000906;Antônio João;9082;9020;Antônio João;8956;certo
RN;2400901;Antônio Martins;7162;7154;Antônio Martins;7145;certo
PR;4101309;Antônio Olinto;7421;7427;Antônio Olinto;7434;certo
RS;4300802;Antônio Prado;13041;13045;Antônio Prado;13050;certo
MG;3103108;Antônio Prado de Minas;1577;1587;Antônio Prado de Minas;1598;certo
PB;2500775;Aparecida;8482;8416;Aparecida;8347;certo
SP;3502507;Aparecida;36211;36185;Aparecida;36157;certo
GO;5201405;Aparecida de Goiânia;601844;590146;Aparecida de Goiânia;578179;certo
GO;5201454;Aparecida do Rio Doce;2474;2474;Aparecida do Rio Doce;2474;certo
TO;1701101;Aparecida do Rio Negro;4901;4848;Aparecida do Rio Negro;4795;certo
MS;5001003;Aparecida do Taboado;26386;26069;Aparecida do Taboado;25745;certo
SP;3502606;Aparecida d'Oeste;4122;4158;Aparecida d'Oeste;4196;certo
RJ;3300159;Aperibé;12036;11901;Aperibé;11759;certo
ES;3200508;Apiacá;7542;7554;Apiacá;7567;certo
MT;5100805;Apiacás;10431;10283;Apiacás;10133;certo
SP;3502705;Apiaí;24081;24226;Apiaí;24374;certo
MA;2100832;Apicum-Açu;17582;17413;Apicum-Açu;17239;certo
SC;4201257;Apiúna;10951;10848;Apiúna;10743;certo
RN;2401008;Apodi;35904;35874;Apodi;35845;certo
BA;2901908;Aporá;17840;17788;Aporá;17731;certo
GO;5201504;Aporé;4266;4232;Aporé;4198;certo
BA;2901957;Apuarema;7274;7302;Apuarema;7330;certo
PR;4101408;Apucarana;137438;136234;Apucarana;134996;certo
AM;1300144;Apuí;22739;22359;Apuí;21973;certo
CE;2300903;Apuiarés;14742;14672;Apuiarés;14600;certo
SE;2800209;Aquidabã;21796;21681;Aquidabã;21563;certo
MS;5001102;Aquidauana;48184;48029;Aquidauana;47871;certo
CE;2301000;Aquiraz;81581;80935;Aquiraz;80271;certo
SC;4201273;Arabutã;4268;4267;Arabutã;4267;certo
PB;2500809;Araçagi;16857;16921;Araçagi;16987;certo
MG;3103207;Araçaí;2360;2354;Araçaí;2347;certo
SE;2800308;Aracaju;672614;664908;Aracaju;657013;certo
SP;3502754;Araçariguama;23343;22860;Araçariguama;22364;certo
BA;2902054;Araçás;12237;12208;Araças;12177;errado
CE;2301109;Aracati;75392;74975;Aracati;74547;certo
BA;2902005;Aracatu;12960;13045;Aracatu;13135;certo
SP;3502804;Araçatuba;199210;198129;Araçatuba;197016;certo
BA;2902104;Araci;54903;54648;Araci;54379;certo
MG;3103306;Aracitaba;2056;2059;Aracitaba;2063;certo
CE;2301208;Aracoiaba;26600;26535;Aracoiaba;26469;certo
PE;2601052;Araçoiaba;20936;20733;Araçoiaba;20524;certo
SP;3502903;Araçoiaba da Serra;35389;34776;Araçoiaba da Serra;34146;certo
ES;3200607;Aracruz;104942;103101;Aracruz;101220;certo
GO;5201603;Araçu;3450;3486;Araçu;3522;certo
MG;3103405;Araçuaí;36715;36712;Araçuaí;36708;certo
GO;5201702;Aragarças;20410;20273;Aragarças;20118;certo
GO;5201801;Aragoiânia;10680;10496;Aragoiânia;10308;certo
TO;1701309;Aragominas;5705;5731;Aragominas;5758;certo
TO;1701903;Araguacema;7223;7155;Araguacema;7086;certo
TO;1702000;Araguaçu;8418;8467;Araguaçu;8517;certo
MT;5101001;Araguaiana;3064;3109;Araguaiana;3100;certo
TO;1702109;Araguaína;186245;183381;Araguaína;180470;certo
MT;5101209;Araguainha;909;946;Araguainha;935;certo
TO;1702158;Araguanã;5856;5793;Araguanã;5729;certo
MA;2100873;Araguanã;15675;15551;Araguanã;15426;certo
GO;5202155;Araguapaz;7795;7783;Araguapaz;7770;certo
MG;3103504;Araguari;118361;117825;Araguari;117267;certo
TO;1702208;Araguatins;36573;36170;Araguatins;35761;certo
MA;2100907;Araioses;47095;46771;Araioses;46440;certo
MS;5001243;Aral Moreira;12511;12332;Aral Moreira;12149;certo
BA;2902203;Aramari;11519;11461;Aramari;11397;certo
RS;4300851;Arambaré;3544;3562;Arambaré;3581;certo
MA;2100956;Arame;32825;32764;Arame;32701;certo
SP;3503000;Aramina;5689;5655;Aramina;5620;certo
SP;3503109;Arandu;6373;6365;Arandu;6357;certo
MG;3103603;Arantina;2779;2787;Arantina;2795;certo
SP;3503158;Arapeí;2452;2460;Arapeí;2469;certo
AL;2700300;Arapiraca;234309;233047;Arapiraca;231747;certo
TO;1702307;Arapoema;6590;6616;Arapoema;6643;certo
MG;3103702;Araponga;8467;8453;Araponga;8439;certo
PR;4101507;Arapongas;126545;124810;Arapongas;123027;certo
MG;3103751;Araporã;6992;6931;Araporã;6869;certo
PR;4101606;Arapoti;28480;28300;Arapoti;28115;certo
MG;3103801;Arapuá;2836;2835;Arapuá;2834;certo
PR;4101655;Arapuã;2951;3009;Arapuã;3068;certo
MT;5101258;Araputanga;17078;16951;Araputanga;16822;certo
SC;4201307;Araquari;40890;39524;Araquari;38129;certo
PB;2500908;Arara;13613;13542;Arara;13470;certo
SC;4201406;Araranguá;69493;68867;Araranguá;68228;certo
SP;3503208;Araraquara;240542;238339;Araraquara;236072;certo
SP;3503307;Araras;136739;135506;Araras;134236;certo
CE;2301257;Ararendá;10983;10959;Ararendá;10935;certo
MA;2101004;Arari;30014;29932;Arari;29848;certo
RS;4300877;Araricá;5840;5771;Araricá;5698;certo
CE;2301307;Araripe;21707;21654;Araripe;21600;certo
PE;2601102;Araripina;85301;84864;Araripina;84418;certo
RJ;3300209;Araruama;136109;134293;Araruama;132400;certo
PB;2501005;Araruna;20610;20463;Araruna;20312;certo
PR;4101705;Araruna;14029;14000;Araruna;13970;certo
BA;2902252;Arataca;10904;10961;Arataca;11019;certo
RS;4300901;Aratiba;6145;6189;Aratiba;6235;certo
CE;2301406;Aratuba;11759;11802;Aratuba;11847;certo
BA;2902302;Aratuípe;8848;8837;Aratuípe;8825;certo
SE;2800407;Arauá;9840;9947;Arauá;10056;certo
PR;4101804;Araucária;148522;146214;Araucária;143843;certo
MG;3103900;Araújos;9523;9401;Araújos;9273;certo
MG;3104007;Araxá;108403;107337;Araxá;106229;certo
MG;3104106;Arceburgo;10990;10883;Arceburgo;10772;certo
